"chamber","party","rank_partisan_leg_D","rank_partisan_leg_R","legislator_name","district_number","leg_party_loyalty","leg_n_votes_denom_loyalty"
"Senate","D",8,NA,"Barbara Sharief",35,0.882352941176471,85
"Senate","D",9,NA,"Darryl Rouson",16,0.857913669064748,1112
"Senate","D",10,NA,"Tracie Davis",5,0.827667057444314,853
"Senate","D",11,NA,"Mackenson Bernard",24,0.825986078886311,431
"Senate","D",12,NA,"Jason Pizzo",37,0.807881773399015,406
"Senate","R",NA,1,"Ralph Massullo",11,0.994858611825193,778
"Senate","R",NA,2,"Nick DiCeglie",18,0.994666666666667,750
"Senate","R",NA,3,"Stan McClain",9,0.993281075027996,893
"Senate","R",NA,4,"Ben Albritton",27,0.993162393162393,1170
"Senate","R",NA,5,"Bryan Avila",39,0.992941176470588,850
"Senate","R",NA,6,"Keith Truenow",13,0.992076069730586,631
"Senate","R",NA,7,"Jim Boyd",20,0.991836734693878,980
"Senate","R",NA,8,"Tom Leek",7,0.991784037558685,852
"Senate","R",NA,9,"Colleen Burton",12,0.989130434782609,1012
"Senate","R",NA,10,"Jason Brodeur",10,0.986830553116769,1139
"Senate","R",NA,11,"Jay Collins",14,0.985849056603774,212
"Senate","R",NA,12,"Clay Yarborough",4,0.985176738882554,877
"Senate","R",NA,13,"Kathleen Passidomo",28,0.984670874661858,1109
"Senate","R",NA,14,"Jay Trumbull",2,0.984008528784648,938
"Senate","R",NA,15,"Daniel Burgess",23,0.980769230769231,728
"Senate","R",NA,16,"Tommy Wright",8,0.974409448818898,508
"Senate","R",NA,17,"Debbie Mayfield",19,0.972972972972973,1295
"Senate","R",NA,18,"Gayle Harrell",31,0.961832061068702,1048
"Senate","R",NA,19,"Corey Simon",3,0.959302325581395,344
"Senate","R",NA,20,"Jonathan Martin",33,0.953020134228188,298
"Senate","R",NA,21,"Joe Gruters",22,0.952830188679245,636
"Senate","R",NA,22,"Ana Rodriguez",40,0.952691680261011,613
"Senate","R",NA,23,"Ed Hooper",21,0.951,1000
"Senate","R",NA,24,"Erin Grall",29,0.938461538461538,780
"Senate","R",NA,25,"Don Gaetz",1,0.937125748502994,334
"Senate","R",NA,26,"Jennifer Bradley",6,0.91875,480
"Senate","R",NA,27,"Alexis Calatayud",38,0.908450704225352,284
"Senate","R",NA,28,"Ileana Garcia",36,0.885010266940452,487
